"","X","Print_Alone","PrintNumber","FileNumber","FileID","BatchFile","Initials","expDate","Organ","CageNumber","Tag","TagNumber","DOB","Sex","Age","Genotype","MouseWeight","OrganWeight","TotalLiveCountInMillions","All_Event","AllCells_events","LiveCells_events","Singlets1_events","Singlets2_events","pCD4_events","pCD8_events","pDP_events","pDN_events","CD4_events","CD8_events","Bcells_events","TCRb_events","x4Tregs_events","x8Tregs_events","DN_events","DP_events","CD4prol_events","CD8Prol_events","BcellProl_events","x4tregProl_events","x8tregsProl","DPprol_events","DNProl_events","intage","Bratio","CD4Ratio","CD8Ratio","DPRatio","DNRatio","X4TregRatio","X8TregRatio","TCRbRatio","CD4ProlRatio","CD8ProlRatio","BProlRatio","X4TregProlRatio","X8TregProlRatio","Bct","CD4CT","CD8ct","DPct","DNct","X4TregCT","X8TregCT","TCRbCT","CD4ProlCT","CD8ProlCT","BprolCT","X4TregProlCT","X8TregProlCT","NaiveDerivedTregsRatio","ThymusDerivedTregRatio","NaiveDerivedTregsCT","X4TregFromThymusCT"
"11",14,NA,60,32,"JA022518WK8M2WTS","60_32_JA022518WK8M2WTS.fcs compensated","JA","2/25/2018","Spleen",9296,1,9550,"12/24/2017","F",56,"WT",20.8,0.86,51.78,385742,314977,310679,305413,300979,79192,42257,8428,162018,77137,42041,140686,120626,11015,712,429,1162,5991,2159,24906,3446,685,765,67,56,0.467427960090239,0.263114702354649,0.140398499563092,0.0280019536246715,0.00142534861236166,0.142797879098228,0.0169358483385267,0.400778791875845,0.0776670080506112,0.0513546300040437,0.177032540551299,0.312846118928734,0.962078651685393,24.2034197734726,13.6240792879237,7.26983430737693,1.44994115868549,0.0738045511480867,1.9454896269816,0.123120811275954,20.7523258433313,1.05814147573734,0.373339651046045,4.28479289252739,0.608638879217305,0.118451904106781,0.100322928860382,0.0424749502378462,1.36680753719057,0.57868208979103
"12",15,NA,61,34,"JA022518WK8M3WTS","61_34_JA022518WK8M3WTS.fcs compensated","JA","2/25/2018","Spleen",9296,1,9553,"12/24/2017","F",56,"WT",19.7,0.098,39.45,417591,316636,310261,307520,303269,84052,48490,698,161426,82357,48337,135977,130867,11272,730,433,396,5580,1970,16327,3416,679,120,58,56,0.448370918227712,0.277153286356337,0.159891053816908,0.00230158703988868,0.00142777534136361,0.136867540099809,0.0151023025839419,0.43152119075804,0.0677538035625387,0.0407555288909117,0.120071776844613,0.30305180979418,0.93013698630137,17.6882327240832,10.9336971467575,6.30770207307704,0.0907976087236084,0.0563257372167943,1.496468232673,0.0952608253169671,17.0235109754047,0.740799568693698,0.257073734074555,2.12385753242171,0.453507406211052,0.088605616972905,0.0845186154648705,0.0523489246349385,0.924100944756149,0.572367287916851
"13",16,NA,62,36,"JA022518WK8M4WTS","62_36_JA022518WK8M4WTS.fcs compensated","JA","2/25/2018","Spleen",9319,1,9519,"12/25/2017","M",56,"WT",22.6,0.085,38.4,385463,313621,307123,303481,299383,70290,44138,613,177109,68523,43982,147742,112667,10075,707,354,329,5248,1571,29665,3615,671,122,44,56,0.493488274217307,0.234782870102845,0.147429880788154,0.00204754444975166,0.00118243186820895,0.147030923923354,0.0160747578554863,0.376330653377112,0.076587423200969,0.0357191578372971,0.200789213629164,0.358808933002481,0.949080622347949,18.9499497299446,9.01566221194924,5.66130742226512,0.0786257068704636,0.0454053837392237,1.32558114480377,0.0910041459583794,14.4510970896811,0.690486337263541,0.202217133381349,3.80494550458777,0.475630356175248,0.0863702714824223,0.108581381858534,0.0384495420648198,0.978933061343218,0.346648083460549
"14",17,NA,15,38,"GM030918D7WTS","15_38_GM030918D7WTS.fcs compensated","GM","3/9/2018","Spleen",8813,0,6,"3/2/2018",NA,7,"WT",3.3,0.019,7.5,717831,483022,469448,456828,433418,23366,8910,1177,394730,22219,8303,144428,34225,1188,43,169,184,3538,2038,41690,495,10,60,44,7,0.333230276545967,0.0539110050805458,0.0205575218380409,0.00271562325514861,0.000389923814885399,0.0534677528241595,0.00517885101770444,0.0789653406180639,0.159233088797876,0.245453450560039,0.28865593929155,0.416666666666667,0.232558139534884,2.49922707409475,0.404332538104094,0.154181413785307,0.0203671744136146,0.00292442861164049,0.0216187522061147,0.000798482571693145,0.592240054635479,0.0643831189437996,0.0378443600258286,0.721416738575694,0.00900781341921447,0.000185693621323987,0.0164595720684135,0.037008180755746,0.00665514055052888,0.0149636116555859
"15",18,NA,16,40,"GM030918D7KOST3","16_40_GM030918D7KOST3.fcs compensated","GM","3/9/2018","Spleen",8813,0,3,"3/2/2018",NA,7,"KO",3.6,0.026,7.75,1241816,782955,758744,743067,698481,20801,8171,687,663384,19561,7679,252953,34216,771,255,207,247,5419,2949,123855,269,133,126,62,7,0.362147288186794,0.0297803376183461,0.0116982423287104,0.000983562902927925,0.000296357381231558,0.0394151628239865,0.0332074488865738,0.0489863002715894,0.277030826644855,0.384034379476494,0.489636414669919,0.348897535667964,0.52156862745098,2.80664148344765,0.230797616542182,0.090661378047506,0.00762261249769142,0.00229676970454458,0.00909692563539811,0.0030106330774989,0.379643827104817,0.0639380544983429,0.0348170860609578,1.37423387321917,0.00317389493634513,0.00157025176198962,0.0255531383236641,0.0138620245003224,0.00589760342027436,0.00319932221512374
"16",19,NA,18,42,"GM030918D7KOST5","18_42_GM030918D7KOST5.fcs compensated","GM","3/9/2018","Spleen",8813,0,5,"3/2/2018",NA,7,"KO",3.9,0.023,6.8,844716,524927,508073,499946,481908,22242,9293,2146,442234,21162,8714,165514,34516,357,88,123,309,5008,3151,62614,104,34,137,41,7,0.343455597333931,0.0461540377001419,0.0192837637059356,0.00445313213310424,0.00025523543912946,0.0168698610717323,0.0100986917603856,0.0716236294064427,0.236650600132313,0.361602019738352,0.378300325048032,0.291316526610644,0.386363636363636,2.33549806187073,0.313847456360965,0.131129593200362,0.0302812985051089,0.00173560098608033,0.00529456298652606,0.00132423734239521,0.487040679963811,0.0742721888978222,0.0474167257487193,0.883519675954746,0.00154239369915605,0.000511637155016331,0,0.0226171243941842,0,0.00709832696131424
"17",20,NA,55,44,"GM031318D19WTS","55_44_GM031318D19WTS.fcs compensated","GM","3/13/2018","Spleen",8368,1,9887,"2/22/2018","M",18,"WT",10.9,0.07,12.975,469732,381972,371257,369662,366826,23315,10036,578,331717,22298,9758,243157,34311,2512,24,308,250,4368,2093,117454,956,1,137,162,18,0.662867408526113,0.0635587444728563,0.0273590203529739,0.00157567893224581,0.000839635140366277,0.112655843573415,0.00245952039352326,0.0935348094191797,0.195892008251861,0.214490674318508,0.483037708147411,0.380573248407643,0.0416666666666667,8.60070462562632,0.824674709535311,0.354983289079836,0.0204444341458893,0.0108942659462524,0.0929044250763612,0.000873088638851821,1.21361415221386,0.161547185005392,0.0761406050465359,4.15446465081537,0.0353569388427553,3.63786932854925e-05,0.0915115649664498,0.0211442786069652,0.0754672732578287,0.0174371518185327
"18",21,NA,56,46,"GM031318D19KOS","56_46_GM031318D19KOS.fcs compensated","GM","3/13/2018","Spleen",8368,1,9886,"2/22/2018","M",18,"KO",12.4,0.199,104.48,343974,274195,260040,258846,256775,15179,12051,968,226864,14777,11700,178916,29726,864,55,303,598,4044,4424,58370,361,27,316,80,18,0.696781228702171,0.0591140103203193,0.0469321390322267,0.00376983740628955,0.00118002141953072,0.0584692427420992,0.0047008547008547,0.115766721838185,0.273668538945659,0.378119658119658,0.326242482505757,0.417824074074074,0.490909090909091,72.7997027748029,6.17623179826697,4.90346988608704,0.393872612209132,0.123288637912569,0.361119596244343,0.0230504994645117,12.0953070976536,1.69024033242144,1.85409835692727,23.7503557589329,0.150884460930796,0.0113156997371239,0.0376244813597624,0.0208447613823368,0.232377518167467,0.128742078076876
"19",22,NA,63,48,"GM031318WK6WTSM1","63_48_GM031318WK6WTSM1.fcs compensated","GM","3/13/2018","Spleen",9760,1,9760,"1/27/2018","M",56,"WT",24,0.081,75.5,105690,93181,91372,91244,90993,20170,10629,360,59127,18920,10540,51353,29736,2255,37,96,206,1936,676,8662,496,5,110,19,56,0.564362093787434,0.221665402833185,0.116811183277835,0.00395634829052784,0.00105502621080742,0.119186046511628,0.00351043643263757,0.3267943687976,0.102325581395349,0.0641366223908918,0.168675637255857,0.219955654101996,0.135135135135135,42.6093380809513,16.7357379139055,8.81924433747651,0.298704295934852,0.0796544789159606,1.99466643741315,0.0309593966306101,24.6729748442188,1.71249411212056,0.565636543845742,7.18715725385469,0.438738160956507,0.00418370224737975,0.0882621964923006,0.0309238500193274,1.47713298820077,0.517533449212385
"20",23,NA,64,50,"GM031318WK6WTSM2","64_50_GM031318WK6WTSM2.fcs compensated","GM","3/13/2018","Spleen",9761,1,9761,"1/27/2018","F",56,"WT",23.3,0.153,130.2,107764,90805,89348,88858,88135,14299,9784,225,62854,13057,9319,46610,24843,1598,45,1313,107,1899,948,7452,596,5,62,216,56,0.528847790321666,0.162239745844443,0.111011516423668,0.00255290179837749,0.0148976002723095,0.122386459370453,0.00482884429659835,0.28187439723152,0.145439228000306,0.101727653181672,0.15987985410856,0.3729662077597,0.111111111111111,68.8559822998809,21.1236149089465,14.4536994383616,0.332387814148749,1.9396675554547,2.58524443781087,0.0697946640976791,36.7000465195439,3.07220224493294,1.47034092365777,11.0086844046066,0.964208814102176,0.00775496267751991,0.0776454860580511,0.0447409733124019,1.64015334690825,0.94509109090263
"21",24,NA,33,52,"GM032118D12WTS_1","33_52_GM032118D12WTS_1.fcs compensated","GM","3/21/2018","Spleen",7998,0,8,"3/9/2018","F",12,"WT",9.8,0.07,15.8,677827,456513,444985,434469,416684,24233,10334,459,377842,22109,10020,275106,36237,2198,87,344,120,5222,3100,150942,1057,69,62,157,12,0.660226934559522,0.0581567806779238,0.0248005682963589,0.00110155417534631,0.000825565656468691,0.0994165272061152,0.00868263473053892,0.0869651822484185,0.236193405400516,0.30938123752495,0.548668513227629,0.480891719745223,0.793103448275862,10.4315855660405,0.918877134711196,0.39184897908247,0.0174045559704716,0.0130439373722053,0.0913515736620928,0.00340228155490768,1.37404987952501,0.217032719592106,0.121230722071423,5.72348254312621,0.0439302153597962,0.00269836123320264,0.0637209891483724,0.0356955380577428,0.0585517599296196,0.0327998137324731
"22",25,NA,34,54,"GM032118D12KOS_2","34_54_GM032118D12KOS_2.fcs compensated","GM","3/21/2018","Spleen",7998,0,9,"3/9/2018","F",12,"KO",9.5,0.1,10.5,1168078,712367,690551,678591,652161,38893,13804,3542,590860,37568,13244,359012,63490,1367,106,1078,610,18732,7795,177424,925,88,364,365,12,0.550495966486803,0.0596371141481935,0.0211665524310715,0.0054311742039159,0.00165296606206136,0.0363873509369676,0.00800362428269405,0.0973532609278997,0.498615843270869,0.58856840833585,0.494200750949829,0.676664228237015,0.830188679245283,5.78020764811143,0.626189698556031,0.22224880052625,0.057027329141117,0.0173561436516443,0.0227853843144723,0.00177879589669152,1.02220923974295,0.312228104593047,0.130808622780287,2.85658296034261,0.0154180544922362,0.00147673621612127,0.0157284257411804,0.0206589251957872,0.00984897817363067,0.0129364061408416
"23",26,NA,39,56,"GM032118D14WTS_3","39_56_GM032118D14WTS_3.fcs compensated","GM","3/21/2018","Spleen",8368,1,9918,"3/7/2018","F",14,"WT",8.7,0.06,11.55,894745,536986,521997,509863,487160,23444,10704,454,449523,22282,10257,294595,40835,2816,30,384,157,5559,3166,169129,1302,17,75,167,14,0.604719188767551,0.0481238196896297,0.0219722473109451,0.00093193201412267,0.000788242055998029,0.126380037698591,0.00292483182217023,0.0838225634288529,0.249483888340364,0.308667251633031,0.574106824623636,0.462357954545455,0.566666666666667,6.98450663026521,0.555830117415223,0.253779456441416,0.0107638147631168,0.00910419574677724,0.070245831192948,0.000742262230012915,0.968150607603252,0.138670658949431,0.0783334073406963,4.00985292306429,0.0324787188257167,0.000420615263673985,0.0951200440944976,0.0312599936040934,0.0528705852775858,0.0173752459153624
"24",27,NA,40,58,"GM032118D14KOS_4","40_58_GM032118D14KOS_4.fcs compensated","GM","3/21/2018","Spleen",8368,1,9917,"3/7/2018","M",14,"KO",9.1,0.068,8.7,745110,505099,491052,473326,452086,18356,10883,2567,413730,16735,8461,234566,26737,1178,135,562,373,5001,3225,84719,681,119,217,153,14,0.518852607689687,0.0406028941396106,0.0240728533951505,0.00567812318895077,0.00124312630782639,0.0703913952793546,0.0159555608084151,0.0591414022995625,0.298834777412608,0.381160619312138,0.361173401089672,0.578098471986418,0.881481481481482,4.51401768690028,0.353245179014612,0.209433824537809,0.0493996717438717,0.0108151988780896,0.024865421026544,0.00334163412275195,0.514530200006194,0.105561944442909,0.079827926265741,1.63034312055671,0.014374661900744,0.00294558859709246,0.0477452245409522,0.0226461707384024,0.0168657703900615,0.00799965063648242
"25",28,NA,41,60,"GM032118D14WTS_5","41_60_GM032118D14WTS_5.fcs compensated","GM","3/21/2018","Spleen",8368,1,9920,"3/7/2018","F",14,"WT",8.8,0.063,9.85,664466,439940,432762,421411,402083,19178,10478,4359,363791,18469,9813,227203,33353,1794,55,530,168,3883,2747,124917,843,39,106,216,14,0.565064924406155,0.0476966198521201,0.0260592962149606,0.0108410452568251,0.00131813580778098,0.0971357409713574,0.00560480994599001,0.0829505350885265,0.210244192972007,0.279934780393356,0.549803479707574,0.469899665551839,0.709090909090909,5.56588950540063,0.469811705543383,0.256684067717362,0.106784295779727,0.0129836377066427,0.0456355081349737,0.00143866541571944,0.817062770621986,0.0987751828807708,0.0718547981269329,3.06014541773713,0.0214441100099124,0.00102014456751015,0.0691324097200561,0.0280033312513013,0.0324792153189035,0.0131562928160702
"26",29,NA,42,62,"GM032118D14KOS_6","42_62_GM032118D14KOS_6.fcs compensated","GM","3/21/2018","Spleen",8368,1,9919,"3/7/2018","F",14,"KO",11,0.122,10.4,681346,425257,415361,402783,387163,21277,13494,4658,343602,20631,12899,235850,42650,1287,89,901,507,10202,8422,151938,931,82,355,328,14,0.609174946986153,0.0549561812466584,0.0348535371406875,0.0120311083445474,0.00232718519073362,0.0623818525519849,0.00689975967129235,0.110160320071908,0.494498570112937,0.652918830917125,0.644214543141827,0.723387723387723,0.921348314606742,6.33541944865599,0.571544284965247,0.36247678626315,0.125123526783293,0.0242027259836296,0.0356539913116317,0.00250100271163814,1.14566732874784,0.282627831671536,0.236667919521533,4.08136934572777,0.0257916596046069,0.00230429463319469,0.0441183154185041,0.0182635371334808,0.0252155710397402,0.0104384202718915
"27",30,NA,43,64,"JA032218D14WTS_1","43_64_JA032218D14WTS_1.fcs compensated","JA","3/22/2018","Spleen",8196,1,9912,"3/8/2018","M",14,"WT",12.1,0.08,49.8,501010,373582,363740,348453,336773,18492,9890,340,299316,16732,9536,157180,36399,1576,29,547,99,4298,2791,116495,960,22,66,317,14,0.466723876320251,0.0549093900045431,0.0293669623158626,0.00100958212208223,0.00162423947287936,0.0941907721730815,0.00304110738255034,0.108081704887268,0.256873057614153,0.292680369127517,0.741156635704288,0.609137055837564,0.758620689655172,23.2428490407485,2.73448762222625,1.46247472332996,0.0502771896796952,0.080887125749392,0.257563500635224,0.00444754267791199,5.38246890338596,0.70241619652931,0.428037641863875,17.2265917992238,0.156891472468157,0.00337399789358841,0.0748935274840188,0.0192972446890627,0.204795423889911,0.0527680767453132
"28",31,NA,44,66,"JA032218D14KOS_2","44_66_JA032218D14KOS_2.fcs compensated","JA","3/22/2018","Spleen",8196,1,9913,"3/8/2018","M",14,"KO",11.7,0.141,127.35,441506,330743,317023,307029,300512,20716,12161,5143,255062,18009,11443,150255,39512,916,158,426,1141,11609,8917,127030,806,157,984,116,14,0.499996672345863,0.0689356831008412,0.0404676019593228,0.0171141252262805,0.00141758066233628,0.0508634571603087,0.0138075679454688,0.131482270258758,0.644622133377756,0.77925369221358,0.845429436624405,0.879912663755459,0.993670886075949,63.6745762232457,8.77895924289213,5.15354910951975,2.17948384756682,0.180528897348525,0.44652821736294,0.0711579794900044,16.7442671174529,5.65911143598949,4.01592217159728,53.8323611037163,0.392905833181801,0.070707612531207,0.0274448106153238,0.0234186465449849,0.240936873820821,0.205591343542119
"29",32,NA,45,68,"JA032218D14WTS_3","45_68_JA032218D14WTS_3.fcs compensated","JA","3/22/2018","Spleen",8196,1,9910,"3/8/2018","M",14,"WT",11.4,0.089,45.2,565865,426729,419785,401454,389847,18510,9943,574,353078,17092,9509,194583,35661,1504,25,560,95,3605,2161,140951,852,22,50,245,14,0.499126580427706,0.047480165295616,0.0255048775545278,0.00147237249485054,0.0014364609705859,0.0879943833372338,0.00262908823220107,0.0914743476286851,0.210917388251814,0.227258386791461,0.724374688436297,0.566489361702128,0.88,22.5605214353323,2.14610347136184,1.15282046546466,0.0665512367672446,0.0649280358704825,0.188845051540382,0.00303086671959369,4.13464051281657,0.452650539097791,0.261988119241679,16.3422706856793,0.106978712707716,0.00266716271324245,0.0576553387365273,0.0303390446007065,0.123734322605004,0.0651107289353779
"30",33,NA,46,70,"JA032218D14KOS_4","46_70_JA032218D14KOS_4.fcs compensated","JA","3/22/2018","Spleen",8196,1,9911,"3/8/2018","M",14,"KO",11.6,0.133,68.88,342404,253547,244992,237842,233086,14329,10695,4824,195619,13412,9588,105522,31633,1052,293,538,542,7299,6228,78286,905,287,438,255,14,0.452717022901418,0.0614751636734939,0.0458843516985147,0.0206962237114198,0.00230816093630677,0.0784372203996421,0.0305590321234877,0.135713856688089,0.544214136594095,0.649561952440551,0.741892685885408,0.860266159695818,0.979522184300341,31.1831485374497,4.23440927383026,3.16051414499369,1.4255558892426,0.15898612529281,0.332135293473713,0.0965822532835995,9.3479704486756,2.30442538694356,2.05294973873808,23.1345498228122,0.285724753416074,0.0946044597010002,0.0265017365286744,0.0519354838709677,0.112219198929625,0.219916094544088
"31",34,NA,57,72,"GM032718D20WTS","57_72_GM032718D20wts.fcs compensated","GM","3/27/2018","Spleen",8368,1,9914,"3/7/2018","M",18,"WT",12.9,0.102,28.2,562118,434681,431050,427054,420510,37402,14912,872,364598,36355,14615,319847,51602,4543,42,57,260,11427,5656,254914,2615,10,155,21,18,0.760616869991201,0.0889443770659437,0.0354617012675085,0.00207367244536396,0.000135549689662553,0.124962178517398,0.00287375983578515,0.122712896245036,0.314317150323202,0.386999657885734,0.796987309557382,0.575610829848118,0.238095238095238,21.4493957337519,2.50823143325961,1.00001997574374,0.0584775629592637,0.00382250124848398,0.313434064125937,0.0028738172412752,3.46050367411001,0.788380156453242,0.387007388491727,17.0948961974745,0.180416041754199,0.000684242200303619,0.0917809259251126,0.0331812525922854,0.230207803379039,0.0832262607468971
"32",35,NA,58,74,"GM032718D20KOS","58_74_GM032718D20kos.fcs compensated","GM","3/27/2018","Spleen",8368,1,9915,"3/7/2018","M",18,"KO",12.5,0.163,19,130768,105476,103792,102761,101412,11453,10835,900,77028,11257,10658,64982,23046,495,8,24,678,5816,7065,45633,353,7,511,7,18,0.64077229519189,0.112935352818207,0.106841399439908,0.00887468938587149,0.00023665838362324,0.0439726392466909,0.000750609870519797,0.227251212874216,0.516656302744959,0.662882341902796,0.702240620479517,0.713131313131313,0.875,12.1746736086459,2.14577170354593,2.02998658935826,0.168619098331558,0.00449650928884156,0.0943552450257827,0.00152372797099513,4.31777304461011,1.10862647488879,1.34564226438507,8.54955034907112,0.0672876797860632,0.00133326197462074,0.0194241065153139,0.024548532731377,0.0416796981272227,0.0526755468985598
